"Année","Consommation annuelle totale de l'adresse (MWh)","Consommation annuelle moyenne par logement de l'adresse (MWh)","Consommation annuelle moyenne de la commune (MWh)","adresse","numero_dpe","etiquette_dpe","etiquette_ges","annee_construction","surface_habitable_logement","conso_5 usages_ef","emission_ges_5_usages","cout_total_5_usages","nombre_appartement"
2024,25.316,1.808,6.317,"175 RUE DE LA PLAINE 383 RUY MONTCEAU","2438E4219851O","C","C",2021,49.1,3405.2,713.1,429,11
2024,17.846,1.622,6.317,"159 RUE DE LA PLAINE 383 RUY MONTCEAU","2438E4219636H","C","C",2021,81.8,6671.5,1431.4,782,11
2024,138.25,2.194,2.631,"17 SQUARE SAINT CHARLES 750 PARIS","2475E1185567T","F","B",1980,32,4944.4,360,892,65
2024,221.062,3.509,2.631,"7 RUE SAINT CLAUDE 750 PARIS","2475E2805868A","E","B",1945,30.2,4094.2,301.9,934,71
2024,364.091,1.291,2.631,"39 RUE SAINT FARGEAU 750 PARIS","2475E2267676I","D","D",1974,27.1,5144.8,915.1,494,278
2024,56.757,2.838,2.631,"48 RUE SAINT FERDINAND 750 PARIS","2375E4566733O","D","B",1945,22.7,2283.1,159,591,12
2024,130.714,5.229,2.631,"45 RUE SAINT FERDINAND 750 PARIS","2475E0346203N","D","D",1910,142,30682.2,6469.5,2305,33
2024,18.532,0.882,2.631,"26 RUE SAINT GUILLAUME 750 PARIS","2475E1478499J","D","D",1967,50,9747.4,2165.8,690,21
2024,95.375,7.337,2.631,"167 RUE SAINT JACQUES 750 PARIS","2475E0592126C","E","E",1947,83.3,22263.6,4990.5,1789,12
2024,82.313,3.43,2.631,"34 RUE SAINT MAUR 750 PARIS","2475E2401062O","D","B",1973,75.1,6161.8,453.8,1350,83
2024,328.027,0.956,2.631,"108 RUE SAINT MAUR 750 PARIS","2475E3848865H","E","E",1982,28.1,8415.5,1836.8,896,349
2024,45.885,4.589,2.631,"9 RUE SAINT PAUL 750 PARIS","2475E3874889F","D","B",1850,46.5,4711.8,345.6,1061.4,10
2024,75.452,3.43,2.631,"46 RUE SAINT PLACIDE 750 PARIS","2475E4140388S","D","B",1945,56.4,5631.4,394.8,1230,29
2024,53.022,2.209,2.631,"22 RUE SAINT SABIN 750 PARIS","2475E0341618E","C","C",1994,111.3,12347.2,2619.9,1200.5,25
2024,63.619,4.894,2.631,"9 PASSAGE SALARNIER 750 PARIS","2475E1243510I","C","A",1985,73,5198.8,372.8,918,26
2024,35.611,1.272,2.631,"14 RUE SANTERRE 750 PARIS","2475E3739694K","D","D",1948,75,15556.3,3448.2,1536,55
2024,44.106,2.94,2.631,"1 RUE SARASATE 750 PARIS","2475E0319780G","F","E",1914,32,9397.7,1876.4,864,23
2024,65.042,2.409,2.631,"4 RUE SEVERO 750 PARIS","2475E0271138K","G","C",1945,26.2,5340.2,393.5,935,28
